"claim_filed_by","regular_ui","pua_new","pua_reclassified","peuc_claims","week_ending","median"
"ALLEGANY",31,0,0,0,"Feb 3",40.5
"ANNE ARUNDEL",156,0,0,0,"Feb 3",40.5
"BALTIMORE",392,0,0,0,"Feb 3",40.5
"BALTIMORE CITY",337,0,0,1,"Feb 3",40.5
"CALVERT",28,0,0,0,"Feb 3",40.5
"CAROLINE",13,0,0,0,"Feb 3",40.5
"CARROLL",46,0,0,0,"Feb 3",40.5
"CECIL",35,0,0,0,"Feb 3",40.5
"CHARLES",47,0,0,0,"Feb 3",40.5
"DORCHESTER",17,0,0,0,"Feb 3",40.5
"FREDERICK",102,0,0,0,"Feb 3",40.5
"GARRETT",16,0,0,0,"Feb 3",40.5
"HARFORD",104,0,0,0,"Feb 3",40.5
"HOWARD",111,0,0,0,"Feb 3",40.5
"KENT",0,0,0,0,"Feb 3",40.5
"MONTGOMERY",260,0,0,0,"Feb 3",40.5
"NON-MARYLAND",288,0,0,0,"Feb 3",40.5
"PRINCE GEORGES",326,0,0,0,"Feb 3",40.5
"QUEEN ANNES",11,0,0,0,"Feb 3",40.5
"SOMERSET",3,0,0,0,"Feb 3",40.5
"ST MARYS",13,0,0,0,"Feb 3",40.5
"TALBOT",11,0,0,0,"Feb 3",40.5
"Unknown",23,0,0,0,"Feb 3",40.5
"WASHINGTON",116,0,0,0,"Feb 3",40.5
"WICOMICO",42,0,0,0,"Feb 3",40.5
"WORCESTER",39,0,0,0,"Feb 3",40.5
"ALLEGANY",28,0,0,0,"Feb 10",35.5
"ANNE ARUNDEL",188,0,0,0,"Feb 10",35.5
"BALTIMORE",367,0,0,0,"Feb 10",35.5
"BALTIMORE CITY",354,0,0,0,"Feb 10",35.5
"CALVERT",17,0,0,0,"Feb 10",35.5
"CAROLINE",11,0,0,0,"Feb 10",35.5
"CARROLL",55,0,0,0,"Feb 10",35.5
"CECIL",20,0,0,0,"Feb 10",35.5
"CHARLES",46,0,0,0,"Feb 10",35.5
"DORCHESTER",16,0,0,0,"Feb 10",35.5
"FREDERICK",104,0,0,0,"Feb 10",35.5
"GARRETT",11,0,0,0,"Feb 10",35.5
"HARFORD",111,0,0,0,"Feb 10",35.5
"HOWARD",80,0,0,0,"Feb 10",35.5
"KENT",5,0,0,0,"Feb 10",35.5
"MONTGOMERY",260,0,0,0,"Feb 10",35.5
"NON-MARYLAND",324,0,0,0,"Feb 10",35.5
"PRINCE GEORGES",325,0,0,0,"Feb 10",35.5
"QUEEN ANNES",20,0,0,0,"Feb 10",35.5
"SOMERSET",7,0,0,0,"Feb 10",35.5
"ST MARYS",20,0,0,0,"Feb 10",35.5
"TALBOT",14,0,0,0,"Feb 10",35.5
"Unknown",26,0,0,0,"Feb 10",35.5
"WASHINGTON",128,0,0,0,"Feb 10",35.5
"WICOMICO",34,0,0,0,"Feb 10",35.5
"WORCESTER",37,0,0,0,"Feb 10",35.5
"ALLEGANY",27,0,0,0,"Feb 17",33.5
"ANNE ARUNDEL",160,0,0,0,"Feb 17",33.5
"BALTIMORE",328,0,0,0,"Feb 17",33.5
"BALTIMORE CITY",302,0,0,1,"Feb 17",33.5
"CALVERT",16,0,0,0,"Feb 17",33.5
"CAROLINE",12,0,0,0,"Feb 17",33.5
"CARROLL",28,0,0,0,"Feb 17",33.5
"CECIL",37,0,0,0,"Feb 17",33.5
"CHARLES",41,0,0,0,"Feb 17",33.5
"DORCHESTER",14,0,0,0,"Feb 17",33.5
"FREDERICK",49,0,0,0,"Feb 17",33.5
"GARRETT",14,0,0,0,"Feb 17",33.5
"HARFORD",90,0,0,0,"Feb 17",33.5
"HOWARD",86,0,0,0,"Feb 17",33.5
"KENT",3,0,0,0,"Feb 17",33.5
"MONTGOMERY",255,0,0,0,"Feb 17",33.5
"NON-MARYLAND",215,0,0,0,"Feb 17",33.5
"PRINCE GEORGES",285,0,0,0,"Feb 17",33.5
"QUEEN ANNES",14,0,0,0,"Feb 17",33.5
"SOMERSET",7,0,0,0,"Feb 17",33.5
"ST MARYS",11,0,0,0,"Feb 17",33.5
"TALBOT",9,0,0,0,"Feb 17",33.5
"Unknown",23,0,0,0,"Feb 17",33.5
"WASHINGTON",73,0,0,0,"Feb 17",33.5
"WICOMICO",33,0,0,0,"Feb 17",33.5
"WORCESTER",34,0,0,0,"Feb 17",33.5
"ALLEGANY",19,0,0,0,"Feb 24",31.5
"ANNE ARUNDEL",130,0,0,0,"Feb 24",31.5
"BALTIMORE",340,0,0,0,"Feb 24",31.5
"BALTIMORE CITY",285,0,0,0,"Feb 24",31.5
"CALVERT",19,0,0,0,"Feb 24",31.5
"CAROLINE",5,0,0,0,"Feb 24",31.5
"CARROLL",36,0,0,0,"Feb 24",31.5
"CECIL",23,0,0,0,"Feb 24",31.5
"CHARLES",44,0,0,0,"Feb 24",31.5
"DORCHESTER",10,0,0,0,"Feb 24",31.5
"FREDERICK",56,0,0,0,"Feb 24",31.5
"GARRETT",8,0,0,0,"Feb 24",31.5
"HARFORD",70,0,0,0,"Feb 24",31.5
"HOWARD",90,0,0,0,"Feb 24",31.5
"KENT",5,0,0,0,"Feb 24",31.5
"MONTGOMERY",193,0,0,0,"Feb 24",31.5
"NON-MARYLAND",163,0,0,0,"Feb 24",31.5
"PRINCE GEORGES",261,0,0,0,"Feb 24",31.5
"QUEEN ANNES",10,0,0,0,"Feb 24",31.5
"SOMERSET",8,0,0,0,"Feb 24",31.5
"ST MARYS",15,0,0,0,"Feb 24",31.5
"TALBOT",8,0,0,0,"Feb 24",31.5
"Unknown",16,0,0,0,"Feb 24",31.5
"WASHINGTON",53,0,0,0,"Feb 24",31.5
"WICOMICO",35,0,0,0,"Feb 24",31.5
"WORCESTER",28,0,0,0,"Feb 24",31.5
"ALLEGANY",14,0,0,0,"March 3",31.5
"ANNE ARUNDEL",164,0,0,0,"March 3",31.5
"BALTIMORE",358,0,0,0,"March 3",31.5
"BALTIMORE CITY",280,0,0,0,"March 3",31.5
"CALVERT",30,0,0,0,"March 3",31.5
"CAROLINE",7,0,0,0,"March 3",31.5
"CARROLL",33,0,0,0,"March 3",31.5
"CECIL",25,0,0,0,"March 3",31.5
"CHARLES",51,0,0,0,"March 3",31.5
"DORCHESTER",12,0,0,0,"March 3",31.5
"FREDERICK",74,0,0,0,"March 3",31.5
"GARRETT",10,0,0,0,"March 3",31.5
"HARFORD",73,0,0,0,"March 3",31.5
"HOWARD",81,0,0,0,"March 3",31.5
"KENT",2,0,0,0,"March 3",31.5
"MONTGOMERY",232,0,0,1,"March 3",31.5
"NON-MARYLAND",163,0,0,1,"March 3",31.5
"PRINCE GEORGES",267,0,0,0,"March 3",31.5
"QUEEN ANNES",8,0,0,0,"March 3",31.5
"SOMERSET",8,0,0,0,"March 3",31.5
"ST MARYS",10,0,0,0,"March 3",31.5
"TALBOT",7,0,0,0,"March 3",31.5
"Unknown",15,0,0,0,"March 3",31.5
"WASHINGTON",42,0,0,0,"March 3",31.5
"WICOMICO",33,0,0,0,"March 3",31.5
"WORCESTER",21,0,0,0,"March 3",31.5
"ALLEGANY",20,0,0,0,"March 9",32
"ANNE ARUNDEL",172,0,0,0,"March 9",32
"BALTIMORE",344,0,0,0,"March 9",32
"BALTIMORE CITY",315,0,0,0,"March 9",32
"CALVERT",32,0,0,0,"March 9",32
"CAROLINE",6,0,0,0,"March 9",32
"CARROLL",32,0,0,0,"March 9",32
"CECIL",31,0,0,0,"March 9",32
"CHARLES",60,0,0,0,"March 9",32
"DORCHESTER",6,0,0,0,"March 9",32
"FREDERICK",81,0,0,0,"March 9",32
"GARRETT",7,0,0,0,"March 9",32
"HARFORD",76,0,0,0,"March 9",32
"HOWARD",89,0,0,0,"March 9",32
"KENT",5,0,0,0,"March 9",32
"MONTGOMERY",234,0,0,0,"March 9",32
"NON-MARYLAND",176,0,0,0,"March 9",32
"PRINCE GEORGES",278,0,0,0,"March 9",32
"QUEEN ANNES",10,0,0,0,"March 9",32
"SOMERSET",7,0,0,0,"March 9",32
"ST MARYS",14,0,0,0,"March 9",32
"TALBOT",5,0,0,0,"March 9",32
"Unknown",16,0,0,0,"March 9",32
"WASHINGTON",57,0,0,0,"March 9",32
"WICOMICO",33,0,0,0,"March 9",32
"WORCESTER",17,0,0,0,"March 9",32
"ALLEGANY",24,0,0,0,"March 16",31
"ANNE ARUNDEL",114,0,0,0,"March 16",31
"BALTIMORE",327,0,0,0,"March 16",31
"BALTIMORE CITY",313,0,0,0,"March 16",31
"CALVERT",19,0,0,0,"March 16",31
"CAROLINE",6,0,0,0,"March 16",31
