"claim_filed_by","regular_ui","pua_new","pua_reclassified","peuc_claims","week_ending","median"
"BALTIMORE",326,0,0,0,"June 1",33.5
"BALTIMORE CITY",348,0,0,0,"June 1",33.5
"CALVERT",19,0,0,0,"June 1",33.5
"CAROLINE",7,0,0,0,"June 1",33.5
"CARROLL",49,0,0,0,"June 1",33.5
"CECIL",31,0,0,0,"June 1",33.5
"CHARLES",36,0,0,0,"June 1",33.5
"DORCHESTER",14,0,0,0,"June 1",33.5
"FREDERICK",47,0,0,0,"June 1",33.5
"GARRETT",10,0,0,0,"June 1",33.5
"HARFORD",70,0,0,0,"June 1",33.5
"HOWARD",91,0,0,0,"June 1",33.5
"KENT",6,0,0,0,"June 1",33.5
"MONTGOMERY",222,0,0,0,"June 1",33.5
"NON-MARYLAND",149,0,0,0,"June 1",33.5
"PRINCE GEORGES",284,1,0,0,"June 1",33.5
"QUEEN ANNES",6,0,0,0,"June 1",33.5
"SOMERSET",13,0,0,0,"June 1",33.5
"ST MARYS",3,0,0,0,"June 1",33.5
"TALBOT",12,0,0,0,"June 1",33.5
"Unknown",18,0,0,0,"June 1",33.5
"WASHINGTON",38,0,0,0,"June 1",33.5
"WICOMICO",26,0,0,0,"June 1",33.5
"WORCESTER",10,0,0,0,"June 1",33.5
"ALLEGANY",55,0,0,0,"June 8",45.5
"ANNE ARUNDEL",198,0,0,0,"June 8",45.5
"BALTIMORE",376,0,0,0,"June 8",45.5
"BALTIMORE CITY",350,0,0,0,"June 8",45.5
"CALVERT",25,0,0,0,"June 8",45.5
"CAROLINE",3,0,0,0,"June 8",45.5
"CARROLL",50,0,0,0,"June 8",45.5
"CECIL",26,0,0,0,"June 8",45.5
"CHARLES",65,0,0,0,"June 8",45.5
"DORCHESTER",11,0,0,0,"June 8",45.5
"FREDERICK",65,0,0,0,"June 8",45.5
"GARRETT",16,0,0,0,"June 8",45.5
"HARFORD",111,0,0,0,"June 8",45.5
"HOWARD",83,0,0,0,"June 8",45.5
"KENT",14,0,0,0,"June 8",45.5
"MONTGOMERY",269,0,0,0,"June 8",45.5
"NON-MARYLAND",201,0,0,0,"June 8",45.5
"PRINCE GEORGES",275,0,0,0,"June 8",45.5
"QUEEN ANNES",15,0,0,0,"June 8",45.5
"SOMERSET",10,0,0,0,"June 8",45.5
"ST MARYS",38,0,0,0,"June 8",45.5
"TALBOT",16,0,0,0,"June 8",45.5
"Unknown",12,0,0,0,"June 8",45.5
"WASHINGTON",79,0,0,0,"June 8",45.5
"WICOMICO",41,0,0,0,"June 8",45.5
"WORCESTER",10,0,0,0,"June 8",45.5
"ALLEGANY",23,0,0,0,"June 15",70
"ANNE ARUNDEL",364,0,0,0,"June 15",70
"BALTIMORE",395,0,0,0,"June 15",70
"BALTIMORE CITY",474,0,0,0,"June 15",70
"CALVERT",31,0,0,0,"June 15",70
"CAROLINE",14,0,0,0,"June 15",70
"CARROLL",102,0,0,0,"June 15",70
"CECIL",43,0,0,0,"June 15",70
"CHARLES",169,0,0,0,"June 15",70
"DORCHESTER",21,0,0,0,"June 15",70
"FREDERICK",81,0,0,0,"June 15",70
"GARRETT",15,0,0,0,"June 15",70
"HARFORD",251,0,0,0,"June 15",70
"HOWARD",99,0,0,0,"June 15",70
"KENT",4,0,0,0,"June 15",70
"MONTGOMERY",228,0,0,0,"June 15",70
"NON-MARYLAND",189,0,0,0,"June 15",70
"PRINCE GEORGES",295,0,0,0,"June 15",70
"QUEEN ANNES",36,0,0,0,"June 15",70
"SOMERSET",13,0,0,0,"June 15",70
"ST MARYS",72,0,0,0,"June 15",70
"TALBOT",19,0,0,0,"June 15",70
"Unknown",96,0,0,0,"June 15",70
"WASHINGTON",68,0,0,0,"June 15",70
"WICOMICO",47,0,0,0,"June 15",70
"WORCESTER",14,0,0,0,"June 15",70
"ALLEGANY",24,0,0,0,"June 22",73.5
"ANNE ARUNDEL",333,0,0,0,"June 22",73.5
"BALTIMORE",508,1,0,0,"June 22",73.5
"BALTIMORE CITY",498,0,0,0,"June 22",73.5
"CALVERT",91,0,0,0,"June 22",73.5
"CAROLINE",9,0,0,0,"June 22",73.5
"CARROLL",100,0,0,0,"June 22",73.5
"CECIL",119,0,0,0,"June 22",73.5
"CHARLES",109,0,0,0,"June 22",73.5
"DORCHESTER",16,0,0,0,"June 22",73.5
"FREDERICK",84,0,0,0,"June 22",73.5
"GARRETT",8,0,0,0,"June 22",73.5
"HARFORD",179,0,0,0,"June 22",73.5
"HOWARD",158,0,0,0,"June 22",73.5
"KENT",3,0,0,0,"June 22",73.5
"MONTGOMERY",253,0,0,0,"June 22",73.5
"NON-MARYLAND",152,0,0,0,"June 22",73.5
"PRINCE GEORGES",281,0,0,0,"June 22",73.5
"QUEEN ANNES",10,0,0,0,"June 22",73.5
"SOMERSET",8,0,0,0,"June 22",73.5
"ST MARYS",21,0,0,0,"June 22",73.5
"TALBOT",12,0,0,0,"June 22",73.5
"Unknown",51,0,0,0,"June 22",73.5
"WASHINGTON",63,0,0,0,"June 22",73.5
"WICOMICO",46,0,0,0,"June 22",73.5
"WORCESTER",11,0,0,0,"June 22",73.5
"ALLEGANY",23,0,0,0,"June 29",47.5
"ANNE ARUNDEL",208,0,0,0,"June 29",47.5
"BALTIMORE",395,0,0,0,"June 29",47.5
"BALTIMORE CITY",410,0,0,0,"June 29",47.5
"CALVERT",31,0,0,0,"June 29",47.5
"CAROLINE",14,0,0,0,"June 29",47.5
"CARROLL",54,0,0,0,"June 29",47.5
"CECIL",54,0,0,0,"June 29",47.5
"CHARLES",60,0,0,0,"June 29",47.5
"DORCHESTER",16,0,0,0,"June 29",47.5
"FREDERICK",71,0,0,0,"June 29",47.5
"GARRETT",3,0,0,0,"June 29",47.5
"HARFORD",82,0,0,0,"June 29",47.5
"HOWARD",122,0,0,0,"June 29",47.5
"KENT",6,0,0,0,"June 29",47.5
"MONTGOMERY",237,0,0,0,"June 29",47.5
"NON-MARYLAND",194,0,0,1,"June 29",47.5
"PRINCE GEORGES",299,0,0,0,"June 29",47.5
"QUEEN ANNES",15,0,0,0,"June 29",47.5
"SOMERSET",8,0,0,0,"June 29",47.5
"ST MARYS",15,0,0,0,"June 29",47.5
"TALBOT",19,0,0,0,"June 29",47.5
"Unknown",29,0,0,0,"June 29",47.5
"WASHINGTON",52,0,0,0,"June 29",47.5
"WICOMICO",43,0,0,0,"June 29",47.5
"WORCESTER",10,0,0,0,"June 29",47.5
"ALLEGANY",23,0,0,0,"July 6",32.5
"ANNE ARUNDEL",157,0,0,0,"July 6",32.5
"BALTIMORE",331,0,0,0,"July 6",32.5
"BALTIMORE CITY",312,0,0,0,"July 6",32.5
"CALVERT",15,0,0,0,"July 6",32.5
"CAROLINE",10,0,0,0,"July 6",32.5
"CARROLL",38,0,0,0,"July 6",32.5
"CECIL",34,0,0,0,"July 6",32.5
"CHARLES",53,0,0,0,"July 6",32.5
"DORCHESTER",15,0,0,0,"July 6",32.5
"FREDERICK",77,0,0,0,"July 6",32.5
"GARRETT",13,0,0,0,"July 6",32.5
"HARFORD",61,0,0,0,"July 6",32.5
"HOWARD",104,0,0,0,"July 6",32.5
"KENT",4,0,0,0,"July 6",32.5
"MONTGOMERY",219,0,0,0,"July 6",32.5
"NON-MARYLAND",197,0,0,0,"July 6",32.5
"PRINCE GEORGES",246,0,0,0,"July 6",32.5
"QUEEN ANNES",15,0,0,0,"July 6",32.5
"SOMERSET",5,0,0,0,"July 6",32.5
"ST MARYS",15,0,0,0,"July 6",32.5
"TALBOT",12,0,0,0,"July 6",32.5
"Unknown",19,0,0,0,"July 6",32.5
"WASHINGTON",51,0,0,0,"July 6",32.5
"WICOMICO",31,0,0,0,"July 6",32.5
"WORCESTER",12,0,0,0,"July 6",32.5
"ALLEGANY",13,0,0,0,"July 13",28.5
"ANNE ARUNDEL",213,0,0,0,"July 13",28.5
"BALTIMORE",349,0,0,0,"July 13",28.5
"BALTIMORE CITY",377,0,0,0,"July 13",28.5
"CALVERT",22,0,0,0,"July 13",28.5
"CAROLINE",13,0,0,0,"July 13",28.5
"CARROLL",29,0,0,0,"July 13",28.5
"CECIL",28,0,0,0,"July 13",28.5
"CHARLES",41,0,0,0,"July 13",28.5
"DORCHESTER",19,0,0,0,"July 13",28.5
"FREDERICK",78,0,0,0,"July 13",28.5
"GARRETT",8,0,0,0,"July 13",28.5
"HARFORD",85,0,0,0,"July 13",28.5
"HOWARD",96,0,0,0,"July 13",28.5
"KENT",4,0,0,0,"July 13",28.5
"MONTGOMERY",248,0,0,0,"July 13",28.5
"NON-MARYLAND",186,0,0,0,"July 13",28.5
"PRINCE GEORGES",268,0,0,0,"July 13",28.5
"QUEEN ANNES",9,0,0,0,"July 13",28.5
"SOMERSET",7,0,0,0,"July 13",28.5
"ST MARYS",17,0,0,0,"July 13",28.5
"TALBOT",15,0,0,0,"July 13",28.5
"Unknown",16,0,0,0,"July 13",28.5
"WASHINGTON",37,0,0,0,"July 13",28.5
"WICOMICO",32,0,0,0,"July 13",28.5
"WORCESTER",15,0,0,0,"July 13",28.5
"ALLEGANY",29,0,0,0,"July 20",34
"ANNE ARUNDEL",164,0,0,0,"July 20",34
"BALTIMORE",373,0,0,0,"July 20",34
"BALTIMORE CITY",340,0,0,0,"July 20",34
"CALVERT",25,0,0,0,"July 20",34
"CAROLINE",10,0,0,0,"July 20",34
"CARROLL",39,0,0,0,"July 20",34
"CECIL",25,0,0,0,"July 20",34
"CHARLES",50,0,0,0,"July 20",34
"DORCHESTER",12,0,0,0,"July 20",34
"FREDERICK",72,0,0,0,"July 20",34
"GARRETT",4,0,0,0,"July 20",34
"HARFORD",101,0,0,0,"July 20",34
"HOWARD",84,0,0,0,"July 20",34
"KENT",5,0,0,0,"July 20",34
"MONTGOMERY",227,0,0,0,"July 20",34
"NON-MARYLAND",186,0,0,0,"July 20",34
"PRINCE GEORGES",284,0,0,0,"July 20",34
"QUEEN ANNES",11,0,0,0,"July 20",34
"SOMERSET",10,0,0,0,"July 20",34
"ST MARYS",17,0,0,0,"July 20",34
"TALBOT",15,0,0,0,"July 20",34
"Unknown",23,0,0,0,"July 20",34
"WASHINGTON",41,0,0,0,"July 20",34
"WICOMICO",49,0,0,0,"July 20",34
"WORCESTER",15,0,0,0,"July 20",34
"ALLEGANY",41,0,0,0,"July 27",37.5
"ANNE ARUNDEL",164,0,0,0,"July 27",37.5
"BALTIMORE",360,0,0,0,"July 27",37.5
"BALTIMORE CITY",312,0,0,0,"July 27",37.5
"CALVERT",31,0,0,0,"July 27",37.5
"CAROLINE",14,0,0,0,"July 27",37.5
"CARROLL",50,0,0,0,"July 27",37.5
"CECIL",33,0,0,0,"July 27",37.5
"CHARLES",56,0,0,0,"July 27",37.5
"DORCHESTER",17,0,0,0,"July 27",37.5
"FREDERICK",64,0,0,0,"July 27",37.5
"GARRETT",8,0,0,0,"July 27",37.5
"HARFORD",81,0,0,0,"July 27",37.5
"HOWARD",77,0,0,0,"July 27",37.5
"KENT",4,0,0,0,"July 27",37.5
"MONTGOMERY",191,0,0,0,"July 27",37.5
"NON-MARYLAND",245,0,0,0,"July 27",37.5
"PRINCE GEORGES",274,0,0,0,"July 27",37.5
"QUEEN ANNES",6,0,0,0,"July 27",37.5
"SOMERSET",10,0,0,0,"July 27",37.5
"ST MARYS",11,0,0,0,"July 27",37.5
"TALBOT",16,0,0,0,"July 27",37.5
"Unknown",18,0,0,0,"July 27",37.5
"WASHINGTON",89,0,0,0,"July 27",37.5
"WICOMICO",34,0,0,0,"July 27",37.5
"WORCESTER",9,0,0,0,"July 27",37.5
"ALLEGANY",50,0,0,0,"Aug 3",43
"ANNE ARUNDEL",188,0,0,0,"Aug 3",43
"BALTIMORE",395,0,0,0,"Aug 3",43
"BALTIMORE CITY",373,0,0,0,"Aug 3",43
"CALVERT",31,0,0,0,"Aug 3",43
"CAROLINE",9,0,0,0,"Aug 3",43
"CARROLL",46,0,0,0,"Aug 3",43
"CECIL",21,0,0,0,"Aug 3",43
"CHARLES",72,0,0,0,"Aug 3",43
"DORCHESTER",12,0,0,0,"Aug 3",43
"FREDERICK",84,0,0,0,"Aug 3",43
"GARRETT",4,0,0,0,"Aug 3",43
"HARFORD",91,0,0,0,"Aug 3",43
"HOWARD",89,0,0,0,"Aug 3",43
"KENT",2,0,0,0,"Aug 3",43
"MONTGOMERY",224,0,0,0,"Aug 3",43
"NON-MARYLAND",188,0,0,0,"Aug 3",43
"PRINCE GEORGES",309,0,0,0,"Aug 3",43
"QUEEN ANNES",10,0,0,0,"Aug 3",43
"SOMERSET",6,0,0,0,"Aug 3",43
"ST MARYS",11,0,0,0,"Aug 3",43
"TALBOT",12,0,0,0,"Aug 3",43
"Unknown",19,0,0,0,"Aug 3",43
"WASHINGTON",88,0,0,0,"Aug 3",43
"WICOMICO",40,0,0,0,"Aug 3",43
"WORCESTER",8,0,0,0,"Aug 3",43
"ALLEGANY",24,0,0,0,"Aug 10",30.5
"ANNE ARUNDEL",210,0,0,0,"Aug 10",30.5
"BALTIMORE",329,0,0,0,"Aug 10",30.5
"BALTIMORE CITY",337,0,0,0,"Aug 10",30.5
"CALVERT",31,0,0,0,"Aug 10",30.5
"CAROLINE",10,0,0,0,"Aug 10",30.5
"CARROLL",43,0,0,0,"Aug 10",30.5
"CECIL",30,0,0,0,"Aug 10",30.5
"CHARLES",71,0,0,0,"Aug 10",30.5
"DORCHESTER",15,0,0,0,"Aug 10",30.5
"FREDERICK",69,0,0,0,"Aug 10",30.5
"GARRETT",6,0,0,0,"Aug 10",30.5
"HARFORD",80,0,0,0,"Aug 10",30.5
"HOWARD",84,0,0,0,"Aug 10",30.5
"KENT",3,0,0,0,"Aug 10",30.5
"MONTGOMERY",237,0,0,1,"Aug 10",30.5
"NON-MARYLAND",269,0,0,0,"Aug 10",30.5
"PRINCE GEORGES",282,0,0,0,"Aug 10",30.5
"QUEEN ANNES",14,0,0,0,"Aug 10",30.5
"SOMERSET",7,0,0,0,"Aug 10",30.5
"ST MARYS",17,0,0,0,"Aug 10",30.5
"TALBOT",14,0,0,0,"Aug 10",30.5
"Unknown",11,0,0,0,"Aug 10",30.5
"WASHINGTON",105,0,0,0,"Aug 10",30.5
"WICOMICO",22,0,0,0,"Aug 10",30.5
"WORCESTER",13,0,0,0,"Aug 10",30.5
"ALLEGANY",16,0,0,0,"Aug 17",25
"ANNE ARUNDEL",165,0,0,0,"Aug 17",25
"BALTIMORE",334,0,0,0,"Aug 17",25
"BALTIMORE CITY",282,0,0,0,"Aug 17",25
"CALVERT",25,0,0,0,"Aug 17",25
"CAROLINE",8,0,0,0,"Aug 17",25
"CARROLL",25,0,0,0,"Aug 17",25
"CECIL",21,0,0,0,"Aug 17",25
"CHARLES",67,0,0,0,"Aug 17",25
"DORCHESTER",10,0,0,0,"Aug 17",25
"FREDERICK",68,0,0,0,"Aug 17",25
"GARRETT",9,0,0,0,"Aug 17",25
"HARFORD",70,0,0,0,"Aug 17",25
"HOWARD",69,0,0,0,"Aug 17",25
"KENT",6,0,0,0,"Aug 17",25
"MONTGOMERY",195,0,0,0,"Aug 17",25
"NON-MARYLAND",168,0,0,0,"Aug 17",25
"PRINCE GEORGES",270,0,0,0,"Aug 17",25
"QUEEN ANNES",6,0,0,0,"Aug 17",25
"SOMERSET",5,0,0,0,"Aug 17",25
"ST MARYS",12,0,0,0,"Aug 17",25
"TALBOT",9,0,0,0,"Aug 17",25
"Unknown",24,0,0,0,"Aug 17",25
"WASHINGTON",58,0,0,0,"Aug 17",25
"WICOMICO",33,0,0,0,"Aug 17",25
"WORCESTER",15,0,0,0,"Aug 17",25
"ALLEGANY",15,0,0,0,"Aug 24",24
"ANNE ARUNDEL",151,0,0,0,"Aug 24",24
"BALTIMORE",294,0,0,0,"Aug 24",24
"BALTIMORE CITY",268,0,0,0,"Aug 24",24
"CALVERT",17,0,0,0,"Aug 24",24
"CAROLINE",10,0,0,0,"Aug 24",24
"CARROLL",36,0,0,0,"Aug 24",24
"CECIL",26,0,0,0,"Aug 24",24
"CHARLES",53,0,0,0,"Aug 24",24
"DORCHESTER",11,0,0,0,"Aug 24",24
"FREDERICK",65,0,0,0,"Aug 24",24
"GARRETT",4,0,0,0,"Aug 24",24
"HARFORD",70,0,0,0,"Aug 24",24
"HOWARD",62,0,0,0,"Aug 24",24
"KENT",4,0,0,0,"Aug 24",24
"MONTGOMERY",204,0,0,0,"Aug 24",24
"NON-MARYLAND",229,0,0,0,"Aug 24",24
"PRINCE GEORGES",290,0,0,0,"Aug 24",24
"QUEEN ANNES",10,0,0,0,"Aug 24",24
"SOMERSET",5,0,0,0,"Aug 24",24
"ST MARYS",6,0,0,0,"Aug 24",24
"TALBOT",13,0,0,0,"Aug 24",24
"Unknown",16,0,0,0,"Aug 24",24
"WASHINGTON",90,0,0,0,"Aug 24",24
"WICOMICO",22,0,0,0,"Aug 24",24
"WORCESTER",11,0,0,0,"Aug 24",24
"ALLEGANY",21,0,0,0,"Aug 31",26
"ANNE ARUNDEL",118,0,0,0,"Aug 31",26
"BALTIMORE",303,0,0,0,"Aug 31",26
"BALTIMORE CITY",253,0,0,0,"Aug 31",26
"CALVERT",12,0,0,0,"Aug 31",26
"CAROLINE",9,0,0,0,"Aug 31",26
"CARROLL",32,0,0,0,"Aug 31",26
"CECIL",19,0,0,0,"Aug 31",26
"CHARLES",44,0,0,0,"Aug 31",26
"DORCHESTER",9,0,0,0,"Aug 31",26
"FREDERICK",68,0,0,0,"Aug 31",26
"GARRETT",7,0,0,0,"Aug 31",26
"HARFORD",69,0,0,0,"Aug 31",26
"HOWARD",56,0,0,0,"Aug 31",26
"KENT",5,0,0,0,"Aug 31",26
"MONTGOMERY",203,0,0,0,"Aug 31",26
"NON-MARYLAND",190,0,0,0,"Aug 31",26
"PRINCE GEORGES",254,0,0,0,"Aug 31",26
"QUEEN ANNES",12,0,0,0,"Aug 31",26
"SOMERSET",9,0,0,0,"Aug 31",26
"ST MARYS",5,0,0,0,"Aug 31",26
"TALBOT",7,0,0,0,"Aug 31",26
"Unknown",19,0,0,0,"Aug 31",26
"WASHINGTON",51,0,0,0,"Aug 31",26
"WICOMICO",31,0,0,0,"Aug 31",26
"WORCESTER",18,0,0,0,"Aug 31",26
"ALLEGANY",27,0,0,0,"Sept 7",28
"ANNE ARUNDEL",111,0,0,0,"Sept 7",28
"BALTIMORE",319,0,0,0,"Sept 7",28
"BALTIMORE CITY",229,0,0,0,"Sept 7",28
"CALVERT",23,0,0,0,"Sept 7",28
"CAROLINE",10,0,0,0,"Sept 7",28
"CARROLL",23,0,0,0,"Sept 7",28
"CECIL",30,0,0,0,"Sept 7",28
"CHARLES",39,0,0,0,"Sept 7",28
"DORCHESTER",12,0,0,0,"Sept 7",28
"FREDERICK",66,0,0,0,"Sept 7",28
"GARRETT",10,0,0,0,"Sept 7",28
"HARFORD",77,0,0,0,"Sept 7",28
"HOWARD",79,0,0,0,"Sept 7",28
"KENT",1,0,0,0,"Sept 7",28
"MONTGOMERY",219,0,0,0,"Sept 7",28
"NON-MARYLAND",197,0,0,0,"Sept 7",28
"PRINCE GEORGES",235,0,0,0,"Sept 7",28
"QUEEN ANNES",12,0,0,0,"Sept 7",28
"SOMERSET",5,0,0,0,"Sept 7",28
"ST MARYS",13,0,0,0,"Sept 7",28
"TALBOT",20,0,0,0,"Sept 7",28
"Unknown",13,0,0,0,"Sept 7",28
"WASHINGTON",66,0,0,0,"Sept 7",28
"WICOMICO",29,0,0,0,"Sept 7",28
"WORCESTER",17,0,0,0,"Sept 7",28
"ALLEGANY",15,0,0,0,"Sept 14",37
"ANNE ARUNDEL",131,0,0,0,"Sept 14",37
"BALTIMORE",316,0,0,0,"Sept 14",37
"BALTIMORE CITY",279,0,0,0,"Sept 14",37
"CALVERT",23,0,0,0,"Sept 14",37
"CAROLINE",10,0,0,0,"Sept 14",37
"CARROLL",37,0,0,0,"Sept 14",37
"CECIL",38,0,0,0,"Sept 14",37
"CHARLES",58,0,0,0,"Sept 14",37
"DORCHESTER",9,0,0,0,"Sept 14",37
"FREDERICK",66,0,0,0,"Sept 14",37
"GARRETT",7,0,0,0,"Sept 14",37
"HARFORD",81,0,0,0,"Sept 14",37
"HOWARD",83,0,0,0,"Sept 14",37
"KENT",5,0,0,0,"Sept 14",37
"MONTGOMERY",222,0,0,0,"Sept 14",37
"NON-MARYLAND",177,0,0,0,"Sept 14",37
"PRINCE GEORGES",243,0,0,0,"Sept 14",37
"QUEEN ANNES",10,0,0,0,"Sept 14",37
"SOMERSET",10,0,0,0,"Sept 14",37
"ST MARYS",15,0,0,0,"Sept 14",37
"TALBOT",6,0,0,0,"Sept 14",37
"Unknown",7,0,0,0,"Sept 14",37
"WASHINGTON",67,0,0,0,"Sept 14",37
"WICOMICO",37,0,0,0,"Sept 14",37
"WORCESTER",24,0,0,0,"Sept 14",37
"ALLEGANY",23,0,0,0,"Sept 21",22.5
"ANNE ARUNDEL",142,0,0,0,"Sept 21",22.5
"BALTIMORE",274,0,0,0,"Sept 21",22.5
"BALTIMORE CITY",277,0,0,0,"Sept 21",22.5
"CALVERT",19,0,0,0,"Sept 21",22.5
"CAROLINE",6,0,0,0,"Sept 21",22.5
"CARROLL",22,0,0,0,"Sept 21",22.5
"CECIL",15,0,0,0,"Sept 21",22.5
"CHARLES",53,0,0,0,"Sept 21",22.5
"DORCHESTER",19,0,0,0,"Sept 21",22.5
"FREDERICK",63,0,0,0,"Sept 21",22.5
"GARRETT",8,0,0,0,"Sept 21",22.5
"HARFORD",59,0,0,0,"Sept 21",22.5
"HOWARD",72,0,0,0,"Sept 21",22.5
"KENT",3,0,0,0,"Sept 21",22.5
"MONTGOMERY",243,0,0,0,"Sept 21",22.5
"NON-MARYLAND",150,0,0,0,"Sept 21",22.5
"PRINCE GEORGES",257,0,0,0,"Sept 21",22.5
"QUEEN ANNES",14,0,0,0,"Sept 21",22.5
"SOMERSET",9,0,0,0,"Sept 21",22.5
"ST MARYS",13,0,0,0,"Sept 21",22.5
"TALBOT",5,0,0,0,"Sept 21",22.5
"Unknown",22,0,0,0,"Sept 21",22.5
"WASHINGTON",41,0,0,0,"Sept 21",22.5
"WICOMICO",36,0,0,0,"Sept 21",22.5
"WORCESTER",12,0,0,0,"Sept 21",22.5
"ALLEGANY",40,0,0,0,"Sept 28",32
"ANNE ARUNDEL",160,0,0,0,"Sept 28",32
"BALTIMORE",275,0,0,0,"Sept 28",32
"BALTIMORE CITY",265,0,0,0,"Sept 28",32
"CALVERT",24,0,0,0,"Sept 28",32
"CAROLINE",11,0,0,0,"Sept 28",32
"CARROLL",31,0,0,0,"Sept 28",32
"CECIL",28,0,0,0,"Sept 28",32
"CHARLES",40,0,0,0,"Sept 28",32
"DORCHESTER",11,0,0,0,"Sept 28",32
"FREDERICK",56,0,0,0,"Sept 28",32
"GARRETT",8,0,0,0,"Sept 28",32
"HARFORD",75,0,0,0,"Sept 28",32
"HOWARD",55,0,0,0,"Sept 28",32
"KENT",2,0,0,0,"Sept 28",32
"MONTGOMERY",187,0,0,0,"Sept 28",32
"NON-MARYLAND",138,0,0,0,"Sept 28",32
"PRINCE GEORGES",231,0,0,0,"Sept 28",32
"QUEEN ANNES",10,0,0,0,"Sept 28",32
"SOMERSET",8,0,0,0,"Sept 28",32
"ST MARYS",5,0,0,0,"Sept 28",32
"TALBOT",13,0,0,0,"Sept 28",32
"Unknown",22,0,0,0,"Sept 28",32
"WASHINGTON",58,0,0,0,"Sept 28",32
"WICOMICO",33,0,0,0,"Sept 28",32
"WORCESTER",23,0,0,0,"Sept 28",32
"ALLEGANY",24,0,0,0,"Oct 5",40.5
"ANNE ARUNDEL",145,0,0,0,"Oct 5",40.5
"BALTIMORE",337,0,0,0,"Oct 5",40.5
"BALTIMORE CITY",306,0,0,0,"Oct 5",40.5
"CALVERT",23,0,0,0,"Oct 5",40.5
"CAROLINE",5,0,0,0,"Oct 5",40.5
"CARROLL",46,0,0,0,"Oct 5",40.5
"CECIL",23,0,0,0,"Oct 5",40.5
"CHARLES",49,0,0,0,"Oct 5",40.5
"DORCHESTER",9,0,0,0,"Oct 5",40.5
"FREDERICK",71,0,0,0,"Oct 5",40.5
"GARRETT",5,0,0,0,"Oct 5",40.5
"HARFORD",106,0,0,0,"Oct 5",40.5
"HOWARD",72,0,0,0,"Oct 5",40.5
"KENT",4,0,0,0,"Oct 5",40.5
"MONTGOMERY",231,0,0,0,"Oct 5",40.5
"NON-MARYLAND",189,0,0,0,"Oct 5",40.5
"PRINCE GEORGES",275,0,0,0,"Oct 5",40.5
"QUEEN ANNES",10,0,0,0,"Oct 5",40.5
"SOMERSET",5,0,0,0,"Oct 5",40.5
"ST MARYS",5,0,0,0,"Oct 5",40.5
"TALBOT",9,0,0,0,"Oct 5",40.5
"Unknown",21,0,0,0,"Oct 5",40.5
"WASHINGTON",61,0,0,0,"Oct 5",40.5
"WICOMICO",50,0,0,0,"Oct 5",40.5
"WORCESTER",35,0,0,0,"Oct 5",40.5
"ALLEGANY",25,0,0,0,"Oct 12",38.5
"ANNE ARUNDEL",155,0,0,0,"Oct 12",38.5
"BALTIMORE",297,0,0,0,"Oct 12",38.5
"BALTIMORE CITY",280,0,0,0,"Oct 12",38.5
"CALVERT",14,0,0,0,"Oct 12",38.5
"CAROLINE",8,0,0,0,"Oct 12",38.5
"CARROLL",34,0,0,0,"Oct 12",38.5
"CECIL",28,0,0,0,"Oct 12",38.5
"CHARLES",43,0,0,0,"Oct 12",38.5
"DORCHESTER",10,0,0,0,"Oct 12",38.5
"FREDERICK",53,0,0,0,"Oct 12",38.5
"GARRETT",16,0,0,0,"Oct 12",38.5
"HARFORD",82,0,0,0,"Oct 12",38.5
"HOWARD",81,0,0,0,"Oct 12",38.5
"KENT",3,0,0,0,"Oct 12",38.5
"MONTGOMERY",220,0,0,0,"Oct 12",38.5
"NON-MARYLAND",173,0,0,0,"Oct 12",38.5
"PRINCE GEORGES",266,0,0,0,"Oct 12",38.5
"QUEEN ANNES",11,0,0,0,"Oct 12",38.5
"SOMERSET",10,0,0,0,"Oct 12",38.5
"ST MARYS",15,0,0,0,"Oct 12",38.5
"TALBOT",14,0,0,0,"Oct 12",38.5
"Unknown",14,0,0,0,"Oct 12",38.5
"WASHINGTON",43,0,0,0,"Oct 12",38.5
"WICOMICO",56,0,0,0,"Oct 12",38.5
"WORCESTER",49,0,0,0,"Oct 12",38.5
"ALLEGANY",17,0,0,0,"Oct 19",37
"ANNE ARUNDEL",163,0,0,0,"Oct 19",37
"BALTIMORE",267,0,0,0,"Oct 19",37
"BALTIMORE CITY",242,0,0,0,"Oct 19",37
"CALVERT",16,0,0,0,"Oct 19",37
"CAROLINE",8,0,0,0,"Oct 19",37
"CARROLL",37,0,0,0,"Oct 19",37
"CECIL",21,0,0,0,"Oct 19",37
"CHARLES",37,0,0,0,"Oct 19",37
"DORCHESTER",13,0,0,0,"Oct 19",37
"FREDERICK",76,0,0,0,"Oct 19",37
"GARRETT",5,0,0,0,"Oct 19",37
"HARFORD",79,0,0,0,"Oct 19",37
"HOWARD",69,0,0,0,"Oct 19",37
"KENT",5,0,0,0,"Oct 19",37
"MONTGOMERY",220,0,0,0,"Oct 19",37
"NON-MARYLAND",179,0,0,0,"Oct 19",37
"PRINCE GEORGES",238,0,0,0,"Oct 19",37
"QUEEN ANNES",16,0,0,0,"Oct 19",37
"SOMERSET",7,0,0,0,"Oct 19",37
"ST MARYS",8,0,0,0,"Oct 19",37
"TALBOT",12,0,0,0,"Oct 19",37
"Unknown",15,0,0,0,"Oct 19",37
"WASHINGTON",54,0,0,0,"Oct 19",37
"WICOMICO",42,0,0,0,"Oct 19",37
"WORCESTER",62,0,0,0,"Oct 19",37
"ALLEGANY",27,0,0,0,"Oct 26",40
